Marathi,English
हो मी एक कलावंत आहे,Yes I am an artist
तुझ्या स्वप्नात आलेलो का मी?,Did i come to your dream
इथे कोणी आहे का?,Anyone here?
तिथे कोणी लपलाय का?,Is anyone hiding there?
चल ना दारू पाजतो तुला,Let&#39;s not get drunk
नको मी मध्यपान नाही करत,"No, I&#39;m not drinking"
तो श्वास घेतोय का? का मला!,Is he breathing? Why me!
बातमी गोड आहे,The news is sweet
बातमी वाईट आहे,The news is bad
बातमी काय आहे सांगशील??,What is the news?
हे खूप लहान आहे का?,Is it too small?
ती काय जपानी आहे का?,Is she Japanese?
तो कुठला पक्षी आहे?,What bird is that?
तो कुठला प्राणी आहे?,What animal is that?
तो पक्षी किती रुबाबदार आहे,How cute is that bird
तो वाघ किती भारी आहे,How heavy is that tiger
तुझ्याकडे क्रेडिट कार्ड आहे का?,Do you have a credit card
मला कार्ड हवं आहे,I&#39;d like a card
ती बँक सर्वात छान आहे,That bank is the coolest
ती बँक सर्वात घान आहे,That bank is the most Ghanaian
मला एक छान गाणं ऐकव,Tell me a nice song
तू तुझं तोंड काळं कर,You make your mouth black
तू घरात कुठून आला?,Where did you come from
मी तुला बाहेर काढेन,I&#39;ll take you out
तू किती निर्लज्ज आहे,How shameless are you
तुला दुसरं काहीच काम नाही का?,Do you have anything else to do?
असं विचित्र का वागतोय?,Why are you acting so strange?
सासू पेक्षा सून श्रेष्ठ,Soon better than mother-in-law
सूने पेक्षा सासू बिनडोक,Mother-in-law Binodoc than Sune
त्याने खूप मेहनत केली,He worked very hard
शॉपिंग केली तर खर्च होतो,Shopping costs money
आजकालच्या मुव्हीज खूप बोरिंग आहे,Movies nowadays are very boring
मला ते तसच हवंय,That&#39;s what I want
आपण फार लहान आहोत,We are too young
सांग मला मी काय करू,Tell me what I will do
मी तुझा मुलगा आहे का?,Am i your son
मला आवडेल तुला आई म्हणायला,I&#39;d love to call you a mother
तू ती इमारत बनवलीस का?,Did you make that building?
फार उचं आहे ती इमारत,The building is very high
ती सोसायटी तर एकदम श्रीमंत आहे,That society is very rich
तू राहायला कुठे आहेस?,Where are you staying
आला रे आला!,"Come on, come on!"
सचिन माझा फेवरेट आहे,Sachin is my favorite
मला क्रिकेट फार आवडतं,I like cricket very much
फुटबॉल तर माझी जान आहे,Football is my life
तुला अजुन कुठले खेळ आवडतात?,What other games do you like?
मला कराटे एकदम छान येतं,I like karate very well
चल लग्न करून पळून जाऊया,Let&#39;s get married and run away
आपण आपलं काम करूया,Let&#39;s do our job
मी एक केक बेक करू का?,May I bake a cake?
केक ची चव एकदम सुपर आहे,The taste of the cake is super super
बघ निसर्ग किती सुंदर आहे,See how beautiful nature is
बघ पोरी किती सुंदर आहे,See how beautiful Pori is
बघ ती किती सुंदर आहे,Look how beautiful she is
मी हे इथे ठेऊ का?,Should I put it here?
मला थोडासा आराम करायचा आहे,I want to relax a bit
माझे कुत्रे एकदम शुद्ध आहे,My dogs are very clean
माझे कान वाजताय,My ears are still
माझे वडील फार उंच आहे,My father is very tall
माझे हाथ बांधले आहे,My hand is tied
तुझ्याशिवाय मन नाही रमत,Without you there is no mind
काय करू मी यार?,What do i do
आता हे होणे शक्य नाही,It can&#39;t happen now
तुझ्यासाठी मी चंद्र तोडून आणेन,I will break the moon for you
ती गाणं गायला लागली,She began to sing
ती घाणेरडं गाणं गायला लागली,She began to sing dirty songs
ती सुंदर गाणं गाऊ लागली,She began to sing beautiful songs
तो खूप उंच उडी मारतो,He jumps very high
ती खूप उंच उडी मारते,She jumps very high
तो मला थांबवतोय,He&#39;s stopping me
ती मला थांबवतेय,She&#39;s stopping me
तो जास्त लांब नाही जाऊ शकत,He can&#39;t go too far
ती जास्त लांब जाऊ शकते,It can go a long way
तिच्याकडे फोटो आहे,She has a photo
त्याच्याकडे फोटो आहे,He has a photo
तिचे डोळे निळे आहे,Her eyes are blue
त्याचे डोळे काळे आहे,His eyes are black
ती रडायला सुरू करेल,She will start to cry
तो रडायला सुरू करेल,He would start crying
ती खूप आकर्षक आहे,She is very attractive
तो खूप आकर्षक आहे,He is very attractive
तो तिचा मित्र आहे,He is her friend
ती त्याची मैत्रीण आहे,She is his girlfriend
तिने आजुबाजुला बघितलं,She looked around
त्याने तिच्याकडे दगड फेकला,He threw stones at her
तिने माझी हजामत केली,She shaves me
तू मला सांगितलं नाहीस,You didn&#39;t tell me
तिने मला सांगितलं नाही,She didn&#39;t tell me
तिला जर्मन बोलता येते,She can speak German
त्याला जर्मन बोलता येते,He can speak German
ती त्याला घेऊन घरी गेली,She took him and went home
तो तिला घेऊन घरी गेला,He took her and went home
मला त्यांचा फोटो दाखव,Show me a photo of them
ते सुंदर फोटो कुठे आहेत?,Where are those beautiful photos?
ह्या फुलाचा वास घे,Smell this flower
आत कोणीतरी आहे,There&#39;s somebody inside
कोणीतरी बोलत आहे,Someone is talking
माझ्यापासून लांब रहा,Stay away from me
मला छेडू नकोस,Don&#39;t touch me
मला ते आवडत नाही,I don&#39;t like it
किती विचित्र आहे ना?,How strange is it?
तू खोटारडी निघशिल असं वाटलं नव्हतं,You didn&#39;t think you were a liar
तू खोटारडा निघशील असं वाटलं नव्हतं,You didn&#39;t think you would be a liar
मला आता खरं खरं सांग,Tell me the real truth now
काळजी केल्याबद्दल धन्यवाद,Thanks for worrying
तो मुलगा हुशार आहे,That boy is smart
ती मुलगी हुशार आहे,That girl is smart
चतुराई एक कला आहे,Cleverness is an art
खेळ फार मजेदार होता,The game was very fun
तो बंगला किती मोठा आहे,How big is that bungalow
ती झोपडी किती लहान आहे,How small is that hut
ही जमीन थंड आहे,This land is cold
हे सरबत थंड आहे,This syrup is cold
हा चहा किती गरम आहे,How hot is this tea
ती त्याची बायको आहे,She is his wife
तो तिचा नवरा आहे,He is her husband
तिने घंटी वाजवली,She rang the bell
तो नेहमी खरं बोलतो,He always speaks the truth
ती नेहमी खोटं बोलते,She always lies
ते परत नाही घडणार,It&#39;s not going to happen back then
तो माझा जिवलग मित्र आहे,He is my best friend
ती माझी जिवलग मैत्रीण आहे,She is my best friend
ती त्याची शत्रू आहे,She is his enemy
तो तिचा शत्रू आहे,He is her enemy
तो सगळ्यांचा शत्रू आहे,He is the enemy of all
तो कोणालाच आवडत नाही,He does not like anyone
ती कोणालाच आवडत नाही,She does not like anyone
ती सगळ्यांना शिवी देते,She gives it to everyone
तो मुलगा दमलेला,The boy fainted
ती मुलगी दमलेली,The girl fainted
ती त्याला चावली,She bites him
तो तिला चावला,He bites her
कॉफी फारच गरम होती म्हणून सांडली,The coffee was too hot to handle
कॉफी एकदम भंगार होती म्हणून टाकून दिली,Coffee was ruined because it was a waste
चेक बाऊन्स झाला ना,Check bounce didn&#39;t happen
बँकेत पैसेच नाहीयेत तर काय होणार?,What if there is no money in the bank?
आता मी कुठून आणू पैसे?,Where do I bring the money from?
मला काम धंदा नाहीये ना,I have no business
इतका मोठा मार्केट कुठे आहे?,Where&#39;s the big market?
मला काय माहीत.. तू तुझं बघ,What do I know .. look at you
दुखणं आहे का गेलं?,Is it sad
मला फार त्रास होतोय या सगळ्यांचा ,I&#39;m having a lot of trouble
माझं डोकं दुखायला लागलंय तुझ्यामुळे,My head is hurting because of you
तुला कितीही समजावलं तरी तू बिंडोकच राहणार,"No matter how much you understand, you will remain blind"
हा फोन किती स्वस्त आहे,How cheap this phone is
इथे भाडे किती कमी आहे,Here&#39;s how low the fare is
ही अफवा कोणी पसरवली?,Who spread the rumor?
सूर्य एक तारा आहे,The sun is a star
तारा आणि सितारा माझे मुले आहे,The star and the star are my children
तारा वाया गेलेली मुलगी आहे,Tara is a lost girl
टाकी रिकामी कोणी केली?,Who emptied the tank?
पाण्याची टाकी तू भरलीस का?,Have you filled the water tank?
पाणी किती गढूळ आहे!,How dirty the water is!
हे पाणी विषारी आहे,This water is poisonous
ही पण नालायक आहे,It is also worthless
पाणी खूप गरम आहे,The water is very hot
मी नाही करणार अंघोळ,I&#39;m not going to bathe
मला घाणेरडं राहायला आवडतं,I like to stay dirty
मी दिवाळी साजरी करणार,I will celebrate Diwali
पोल्युशन नाही केलं पाहिजे आपण,You should not have pollution
कचरा देखील नाही टाकला पाहिजे,Garbage should also not be dumped
स्वच्छ भारत अभियान चांगली स्कीम आहे,Swachh Bharat Abhiyan is a good scheme
मोदी आपला प्रधान मंत्री आहे,Modi is your Prime Minister
आम्ही सगळे गावी जातोय,We are all going to the village
मला केळ आवडतं,I like banana
तिला केळ आवडतं,She likes bananas
फळं हेल्थ साठी चांगले असतात,Fruits are good for health
ताज्या ताज्या भाज्या खाल्ल्या पाहिजे,Eat fresh fresh vegetables
लादी पुसून काढ,Wipe the load
तू या घरची नोकर आहेस,You are the servant of this house
तू या घरचा नोकर आहेस,You are the servant of this house
तुझ्यासाठी पोरगी बघितली आहे,See the porch for you
पोरगी फार सुंदर आहे दिसायला,Porgy looks very beautiful
तुला नक्की आवडेल ती!,You will definitely like it!
आता बेकी कोण आहे?,Who is Becky now?
मला नाही करायचं काही जेवायला,I didn&#39;t want to eat anything
चल ना उद्या जाऊया मार्केट ला,Let&#39;s not go to the market tomorrow
मला फार खरेदी करायची आहे,I want to buy a lot
ए नाकतोड्या इकडे ये!,"Come here, noses!"
तू इथे येतोस का तिथे येऊन तुझी पप्पी घेऊ?,Do you come here and take your puppy?
ये इथे आणि घे पप्पी!,Come here and take puppy!
प्लीज मला सोड इथेच,Please leave me here
डिव्होर्स हवाय मला,I want divorces
मी मही देणार तुला डिव्होर्स,I&#39;ll give you a month for divorces
तू माझी बायको आहेस ना?,Are you my wife
हो पण तू माझा नवरा नाहीये,Yes but you are not my husband
ए जाऊदे ना आता का चिडतेस?,Why are you annoyed now?
मग काय नाचू तुझ्यासाठी?,So what will you dance for?
जा आणि जेवण घेऊन ये,Go and have a meal
हो! तुझ्यासाठी एकदम भारी जेवण आणतो,Yes! Bring you a very heavy meal
तू फक्त चिडू नकोस!,You just don&#39;t yell!
